CompanyID|CompanyName|CompanyNameShort|LabelerCode|ParentCompanyID|MVX|
1666|Company Parent Child Relationships|CPCREL||||
529|Nadin Co|Nadin|14836|1666||
2342|Micro Labs Limited|Micro Labs|00000|1666||
2345|Theratechnologies, Inc|Theratech|00000|1666||
2348|Okasa Pvt Ltd|Okasa|00000|1666||
28|Madaus and Co.|Madaus||1666||
311|Lyne Laboratories Inc|Lyne |00374|1666||
711|Great Southern Laboratories|Grt South |51301|1666||
995|Bio Pharm Inc|Bio Pharm|59741|1666||
1019|Hill Laboratories Inc|Hill Labs|60433|1666||
1063|Accucaps Industries Ltd|Accucaps|61474|1666||
1157|Contract Pharmaceuticals Ltd |CPL|00000|1666||
1215|Genesis Products, a Division Rising Pharmaceuticals|Genesis |68585|1228||
1237|Groupe Parima Inc|Grpe Parim|65179|1666||
1635|Capsugel|Capsugel|59630|1666||
1718|CIMA Laboratories Inc|CIMA|55253|1666||
1777|Gemini Pharmaceuticals Inc|Gemini|00000|1666||
1788|Norgine Limited|Norgine |00000|1666||
1806|Jazeera Pharmaceuticals Industries|Jazeera |68289|961||
1851|Murty Pharmaceuticals Inc|Murty|63209|1666||
1865|CornerStone Research & Development, Inc|CornrStone|00000|1666||
1880|Best Formulation, Inc|Best Form|00000|1666||
1881|Soft Gel Technologies, Inc|SGTI|00000|1666||
1886|Arrow Pharm|Arrow|00000|752||
1894|Natco Pharma Limited|Natco|00000|1666||
1912|Cedar Pharmaceuticals LLC|Cedar|00000|1666||
1915|Shasun Chemicals & Drugs Limited|Shasun |00000|1666||
1920|Emcure Pharmaceutical, Ltd|Emcure |00000|1666||
1934|FDC Vitamin Inc.|FDC Vit|00000|1666||
1935|Matrix Laboratories|Matrix|00000|594||
1941|Acupac Packaging, Inc.|Acupac|00000|1666||
1945|Hydrite Chemical Co.,|Hydrite|00000|1666||
1947|MN Pharmaceuticals|MN|00000|1666||
1955|Catalent Pharma Solutions|Catalent|00000|1666||
1958|Ebewe|Ebewe|00000|224||
1960|Nicholas Piramal India Limited|Nicholas |00000|1666||
1972|Controlled Therapeutics|CT|00000|1666||
1981|Aveva Drug Delivery Systems|Aveva|00000|1666||
1991|Almac Pharma Services|Almac |00000|1666||
1996|TG United Inc.|TG United |00000|1666||
1999|Garcoa, Inc|Garcoa|00000|1666||
2010|Debio Pharm|Debio|00000|1666||
2016|Collegium Pharmaceutical, Inc.|Collegium|00000|1666||
2026|Advent Pharmaceuticals, Inc|Advent|00000|1666||
2029|AAI Development Services|AAI DS|00000|1666||
2057|Keata Pharma Inc.|Keata|00000|1666||
2058|Draxis Pharma|Draxis |00000|997||
2066|Ipca Laboratories|Ipca|00000|1666||
2078|Bell-More Labs, Inc.|Bell-More |00000|1666||
2085|EMS Contract Packaging|EMS |00000|1666||
2088|Gland Pharma Ltd|Gland|00000|1964||
2089|Cody Laboratories, Inc|Cody|00000|1666||
2091|MeriCal, Inc.|MeriCal|00000|1666||
2110|Cerovene Inc.|Cerovene|24561|1666||
