NondrugItemID|ItemName|ProductID|
3656|Filter needle|51367|
3|Capsule Aerosolizer/Inhaler Unit|24443|
4|Capsule Aerosolizer/Inhaler Unit|24469|
5|Vaginal Applicator|3423|
6|Vaginal Applicator|3319|
8|Vaginal Applicator|29118|
9|Vaginal Applicator|29109|
15|Vaginal Applicator|18196|
17|30 Unit Suppository Mold w/Caps|32305|
20|Guide Plate|32305|
21|30 Unit Suppository Mold Cover w/Supp Dispensing Tool|32305|
22|Inhaler mouthpiece|17624|
24|Vaginal Applicator|3369|
25|Vaginal Applicator|32369|
26|Vaginal Applicator|5467|
28|Vaginal Applicator|3844|
29|Oral Syringe|19512|
32|Vaginal Applicator|29117|
39|Alcohol Pad or Swab|2667|
40|27 gauge, 0.5 inch needle|2667|
43|Vaginal Applicator|3368|
44|29 gauge, 0.5 inch Pen Needle|3246|
46|Rectal Applicator|32538|
47|Adhesive Overlays|9773|
48|Alcohol Pad or Swab|711|
50|Adhesive Overlays|9774|
51|Adhesive Overlays|9775|
58|30 Unit Suppository Mold w/Caps|32587|
59|Guide Plate|32587|
60|30 Unit Suppository Mold Cover w/Supp Dispensing Tool|32587|
61|19 gauge Needle|19604|
62|Alcohol Pad or Swab|19604|
63|19 gauge Needle|19602|
64|Alcohol Pad or Swab|19602|
65|19 gauge Needle|19601|
66|Alcohol Pad or Swab|19601|
68|Capsule Aerosolizer/Inhaler Unit|24458|
69|Syringe (unspecified size)|30452|
70|Alcohol Pad or Swab|30452|
71|Syringe (unspecified size)|30453|
72|Alcohol Pad or Swab|30453|
73|Syringe (unspecified size)|30454|
74|Alcohol Pad or Swab|30454|
75|Syringe (unspecified size)|30456|
76|Alcohol Pad or Swab|30456|
77|Oral Dropper, Calibrated|7587|
78|Inhaler mouthpiece|17185|
79|Needle (unspecified size)|2702|
80|Alcohol Pad or Swab|2702|
81|Needle (unspecified size)|2703|
82|Alcohol Pad or Swab|2703|
83|Needle (unspecified size)|2704|
84|Alcohol Pad or Swab|2704|
85|Needle (unspecified size)|2705|
86|Alcohol Pad or Swab|2705|
87|Needle (unspecified size)|32623|
88|Alcohol Pad or Swab|32623|
89|Needle (unspecified size)|32624|
90|Alcohol Pad or Swab|32624|
91|Needle (unspecified size)|32626|
92|Alcohol Pad or Swab|32626|
93|Alcohol Pad or Swab|32627|
94|Needle (unspecified size)|32627|
95|Syringe (unspecified size)|17773|
101|Syringe (unspecified size)|17774|
102|Alcohol Pad or Swab|17774|
103|Syringe (unspecified size)|17775|
104|Alcohol Pad or Swab|17775|
107|Needle (unspecified size)|207|
108|Alcohol Pad or Swab|207|
109|Needle (unspecified size)|206|
110|Alcohol Pad or Swab|206|
111|Needle (unspecified size)|280|
112|Alcohol Pad or Swab|280|
115|Vaginal Applicator|20567|
119|Vaginal Applicator|12494|
121|Epinephrine Injection Trainer |32639|
122|29 gauge, 0.5 inch Pen Needle|3245|
123|Syringe (unspecified size)|20613|
124|25 gauge, 1 inch needle|20613|
125|21 gauge, 1.5 inch needle|20613|
126|Enema tip|12802|
129|Alcohol Pad or Swab|24051|
