PackageID|NondrugItemID|ItemCount|PackageItemUnitID|
153|336|1.0|3|
176|662|1.0|3|
209|419|1.0|3|
209|420|1.0|3|
209|421|1.0|3|
209|422|1.0|3|
213|697|1.0|3|
214|697|1.0|3|
701|739|2.0|3|
737|526|1.0|3|
737|527|1.0|3|
737|528|2.0|3|
743|517|2.0|3|
743|518|2.0|3|
1067|521|1.0|3|
1067|522|2.0|3|
1182|725|1.0|3|
1182|726|1.0|3|
1477|282|2.0|3|
1478|284|2.0|3|
1479|280|2.0|3|
1480|281|2.0|3|
1481|283|2.0|3|
1699|663|1.0|3|
1709|557|4.0|3|
1709|558|4.0|3|
1709|559|4.0|3|
1709|740|4.0|3|
1718|327|1.0|3|
1718|328|1.0|3|
1723|176|1.0|3|
1723|177|1.0|3|
1723|178|1.0|3|
1726|332|1.0|3|
1726|333|1.0|3|
2526|368|2.0|3|
2527|368|1.0|3|
2768|456|1.0|3|
2768|457|1.0|3|
2769|459|1.0|3|
2769|460|1.0|3|
4511|122|5.0|3|
4512|44|7.0|3|
4609|6|3.0|3|
4754|712|1.0|3|
4777|5|7.0|3|
4778|5|1.0|3|
5205|563|1.0|3|
5404|28|1.0|3|
5535|437|1.0|3|
5536|437|1.0|3|
6035|438|1.0|3|
6140|357|6.0|3|
6152|673|1.0|3|
6154|671|1.0|3|
6155|672|1.0|3|
6467|649|1.0|3|
6762|711|1.0|3|
6763|711|1.0|3|
6901|319|1.0|3|
6919|266|1.0|3|
6919|267|1.0|3|
6921|154|1.0|3|
6921|155|1.0|3|
6923|270|1.0|3|
6923|271|1.0|3|
7333|613|8.0|3|
7828|26|1.0|3|
8013|743|1.0|3|
8152|598|1.0|3|
8613|647|1.0|3|
8614|608|1.0|3|
8615|610|1.0|3|
8692|612|1.0|3|
10566|512|1.0|3|
10656|454|1.0|3|
11018|687|1.0|3|
11020|560|1.0|3|
11021|560|1.0|3|
11022|688|1.0|3|
11023|562|1.0|3|
11024|562|1.0|3|
11213|389|1.0|3|
11227|707|1.0|3|
11229|706|1.0|3|
11235|714|1.0|3|
11236|714|1.0|3|
11237|713|1.0|3|
11238|713|1.0|3|
11239|703|1.0|3|
11240|710|1.0|3|
11241|710|1.0|3|
11242|708|1.0|3|
11243|553|1.0|3|
11245|705|1.0|3|
11246|705|1.0|3|
11264|661|1.0|3|
11268|629|1.0|3|
11286|702|1.0|3|
11287|709|1.0|3|
11292|660|1.0|3|
11907|126|12.0|3|
13349|131|10.0|3|
13361|690|1.0|3|
13495|115|1.0|3|
13574|569|1.0|3|
13575|569|1.0|3|
13912|615|1.0|3|
13913|615|1.0|3|
13914|615|1.0|3|
13917|691|1.0|3|
13918|691|1.0|3|
14375|129|30.0|3|
14375|130|15.0|3|
14376|396|1.0|3|
14376|397|2.0|3|
14376|398|1.0|3|
15214|352|1.0|3|
15215|342|1.0|3|
16356|432|2.0|3|
16361|412|1.0|3|
16361|413|1.0|3|
16361|414|1.0|3|
16361|415|1.0|3|
16730|29|2.0|3|
17034|345|1.0|3|
17034|346|1.0|3|
17034|347|2.0|3|
17035|338|1.0|3|
17035|339|2.0|3|
17035|343|1.0|3|
18181|119|1.0|3|
18668|9|1.0|3|
18680|32|1.0|3|
18681|8|3.0|3|
18682|141|1.0|3|
18687|143|1.0|3|
18688|144|1.0|3|
18689|140|1.0|3|
18960|22|1.0|3|
23401|471|6.0|3|
23401|472|1.0|3|
23401|473|12.0|3|
23402|471|2.0|3|
23402|472|1.0|3|
23402|473|4.0|3|
23403|465|6.0|3|
23403|466|12.0|3|
23403|467|1.0|3|
23404|465|2.0|3|
23404|466|4.0|3|
23404|467|1.0|3|
23530|362|2.0|3|
23531|362|12.0|3|
23716|652|1.0|3|
23716|653|1.0|3|
23716|654|2.0|3|
24300|510|1.0|3|
24301|510|1.0|3|
24315|511|1.0|3|
24981|536|5.0|3|
24982|536|1.0|3|
25334|668|1.0|3|
25335|670|1.0|3|
25336|696|1.0|3|
25337|666|1.0|3|
25338|669|1.0|3|
25339|665|1.0|3|
25340|667|1.0|3|
25341|289|1.0|3|
25553|744|1.0|3|
26079|68|1.0|3|
26080|68|1.0|3|
26081|3|1.0|3|
26349|153|1.0|3|
26536|533|1.0|3|
26537|533|1.0|3|
26538|532|1.0|3|
28163|185|1.0|3|
28163|186|1.0|3|
28163|187|1.0|3|
29971|138|1.0|3|
29971|139|2.0|3|
29972|277|2.0|3|
